Topic,English description,Is A Type Of,Is a Type Of (2),According to,About Category,Is Category,About Topic,Notes
רבי יצחק נפחא,,talmudic person,,,,,,
רבי יצחק,,mishnaic person,,,,,,
רבי ירמיה,,talmudic person,,,,,,
רבי ישבב,,mishnaic person,,,,,,
רבי ישמעאל,,mishnaic person,,,,,,
רבי כרוספדאי,,talmudic person,,,,,,
רבי לוי,,talmudic person,,,,,,
רבי מאיר,,mishnaic person,,,,,,
רבי מיאשא בר בריה דר יהושע,,talmudic person,,,,,,
רבי מנחם בר סימאי,,talmudic person,,,,,,
רבי מתיא,,mishnaic person,,,,,,
רבי נהוראי,,mishnaic person,,,,,,
רבי נחוניא בן הקנה,,mishnaic person,,,,,,
רבי נחוניא חופר שיחין,,mishnaic person,,,,,,
רבי נחוניא,,mishnaic person,,,,,,
רבי נחמיה,,mishnaic person,,,,,,
רבי נתן,,mishnaic person,,,,,,
רבי עזרא,,talmudic person,,,,,,
רבי עקיבא,,mishnaic person,,,,,,
רבי פדת,,mishnaic person,,,,,,
רבי פנחס בן יאיר,,mishnaic person,,,,,,
רבי פנחס בר ערובא,,mishnaic person,,,,,,
רבי פנחס,,talmudic person,,,,,,
רבי פרידא,,talmudic person,,,,,,
רבי ראובן בן איסטרובלי,,mishnaic person,,,,,,
רבי רומנוס,,talmudic person,,,,,,
רבי שילא,,talmudic person,,,,,,
רבי שמואל בן סוסרטיי,,talmudic person,,,,,,
רבי שמואל בר רבי יוסי,,talmudic person,,,,,,
רבי שמלאי,,talmudic person,,,,,,
רבי שמעון בן איסי בן לקוניא,,mishnaic person,,,,,,
רבי שמעון בן אליקים,,talmudic person,,,,,,
רבי שמעון בן אלעזר,,mishnaic person,,,,,,
רבי שמעון בן חלפתא,,mishnaic person,,,,,,
רבי שמעון בן יהוצדק,,talmudic person,,,,,,
רבי שמעון בן יוחאי,,mishnaic person,,,,,,
רבי שמעון בן לקיש,,talmudic person,,,,,,
רבי שמעון בן נתנאל,,mishnaic person,,,,,,
רבי שמעון בר רבי,,talmudic person,,,,,,
רבי תנחום ב,,talmudic person,,,,,,
רבי תנחום בן חנילאי,,talmudic person,,,,,,
רבי תנחום בר איסבלוסטיקא,,talmudic person,,,,,,
רבי תנחום,,talmudic person,,,,,,
רבי תנחומא,,talmudic person,,,,,,
רבי,,mishnaic person,,,,,,
רביבים,rains/drops,inanimate object,,,,,,
רביד,necklace,inanimate object,,,,,,
רבים,plural/collective,quality,,,,,,
רבין חסידא,,talmudic person,,,,,,
רבין סבא,,talmudic person,,,,,,
רבין,,talmudic person,,,,,,
רבינא,,talmudic person,,,,,,
רביעית,quarter-measurement,material quality,,,,,,
רבית,charging interest,halachic process,,,,,,
רבן גמליאל,,mishnaic person,,,,,,
רבן יוחנן בן זכאי,,mishnaic person,,,,,,
רבן שמעון בן גמליאל,,mishnaic person,,,,,,
רבנות,authority,quality,,,,,,
רבץ,lying down/nesting,process,,,,,,
רבקה,,biblical person,,,,,,
רבשקה,,biblical person,,,,,,
רגז,angry/upset,emotion,,,,,,
רגל מזיק,damage by walking,halachic process,,,,,,
רגל תור,investigate/spy,process,,,,,,
רגל,leg/event in time,body part,moment in time,,,,,
רגם,stoning,process,,,,,,
רגן,talking cynically,process,,,,,,
רגע רוגע,scold/subdue,process,,אבן עזרא,,,,
רגע,moment,span of time,,,,moment in time,,
רגעי ארץ,the modest/contented of the world,phrase,group of people,"רד""ק",,,,
רגש,en masse,quality,,,,,,
רדה,bring down/control,process,,,,,,
רדף,chase,process,,,,,,
רהב,arrogance/power,quality,character trait,,,,,
רוב,majority,meta halacha,,,,,,
רוגז רגז,upset/angry,emotion,,,,,,
רודוס,,geographic site,,,,,,
רודף רדף,pursuer/attacker,halachic process,,,,,,
רווק,single person,family role,,,,,,
רוח נפש,will/soul,spiritual entity,,,,,,
רוח ה,inspiration/prophecy,theological process,,,,,,
רוח הקודש,inspiration/prophecy,theological process,,,,,,
רוח טומאה רעה,impure inspiration/insanity,process,,,,,,
רוח,wind/direction/will,object,,,,,,
רוחות מזיקין,harmful spirits,spiritual entity,,,,,,
רוחות,directions,quality,,,,,,
רוחניות,spirituality,quality,,,,,,
רוכל,merchant/vendor,occupation,,,,,,
רום עינים,arrogance,character trait,phrase,,,,,
רומוס ורומולוס,,group of people,,,,,,
רומי,,nation/ethnicity,,,,,,
רועה רעה,shepherd,occupation,,,,,,
רופא,doctor,occupation,,,,,,
רוצח,murderer,halachic role of person,,,,,,
רוק רקיקה,spitting,process,,,,,,
רות,,biblical person,,,,,,
רותם,type of tree,plant,,,,,,
רחב,,biblical person,,,,,,
רחבה,,talmudic person,,,,,,
רחבעם,,biblical person,,,,,,
רחוב,thoroughfare/street,structure,,,,,,
רחוק,far,quality,,,,,,
רחיצה,washing,process,,,,,,
רחל,,biblical person,,,,,,
רחם,womb,body part,,,,,,
רחמים,mercy/empathy,emotion,,,,,,
רחש,movement/thought,process,,,,,,
רטפש,tender,quality,,,,,,
רטש,smash,process,,,,,,
ריאה,lung,body part,,,,,,
ריב,fight/debate,process,,,,,,
ריח,smell,material quality,,,,,,
ריחים,millstones,inanimate object,,,,,,
רימון,pomegranate,plant,,,,,,
רינה רנן,expressive cry/song,process,,,,,,
ריע,friend,role of person,,,,,,
ריפות,wheat kernels,plant,,,,,,
ריצה,running,process,,,,,,
ריש גלותא,exilarch,occupation,,,,,,
רך לבב,soft-hearted,character trait,,,,,,
רך,tender/gentle,quality,,,,,,
רכוש,property,object,,,,,,
רכיבה רכב,riding,process,,,,,,
רמי בר חמא,,talmudic person,,,,,,
רמי בר יחזקאל,,talmudic person,,,,,,
רמי בר תמרי,,talmudic person,,,,,,
רע עין,stinginess,character trait,,,,,,
רעב,hunger/famine,process,,,,,,
רעה,graze,process,,,,,,
רעואל,,biblical person,,,,,,
רעידת אדמה,earthquake,process,,,,,,
רעם,thunder,process,,,,,,
רעמסס,,geographic site,,,,,,
רעץ,break,process,,,,,,
רפאים,,group of people,,,,,,
רפאל,,spiritual entity,,,,,,
רפואה,medicine/medical treatment,process,,,,,,
רפידים,,geographic site,,,,,,
רפרם בר פפא,,talmudic person,,,,,,
רפרם,,talmudic person,,,,,,
רצד,dance/ambush,process,,"רש""י",,,,
רצה רצון,want/will,emotion,,,,,,
רצפה בת איה,,biblical person,,,,,,
רצפה,coal/fire,inanimate object,,,,,,
רצץ,fracture,process,,,,,,
רק,only,word,,,,,,
רקד רקידה,dance,artistic process,,,,,,
רקח,fragrance blend,inanimate object,,,,,,
רקיע,sky/atmosphere,geographic site,,,,,,
רקיק,flatbread used in korban,food,halachic role of inanimate object,,,,,
רקם,embroidery,artistic process,,,,,,
רש,poor/lacking,quality,,,,,,
רשות היחיד הרבים,private/public domains,halachic role,,,,,,
רשות,permission/authority,quality,,,,,,
רשימו,,theology,,,,,,
רשע וטוב לו,good things happening to bad people,theology,,,,,,
רשע,evil person,quality,,,,,,
רשף,intense/fiery/damaging,quality,,,,,,
שילא בר אבינא,,talmudic person,,,,,,
שמאי,,mishnaic person,,,,,,
שמואל הקטן,,mishnaic person,,,,,,
שמואל,,talmudic person,,,,,,
שמעון בן שטח,,mishnaic person,,,,,,
שמעון העמסוני,,mishnaic person,,,,,,
שמעון הפקולי,,mishnaic person,,,,,,
שמעון הצדיק,,mishnaic person,,,,,,
שמעון התימני,,mishnaic person,,,,,,
שמעיה ואבטליון,,mishnaic person,group of people,,,,,
תודוס,,mishnaic person,,,,,,
ש,,letter,,,,,,
שא,lift/rub out,process,,,,,,
שאה שאיה,become/make desolate,process,,,,,,
שאול גיהנם,the grave/descent after death,spiritual site,,,,,,
שאול מלך,,biblical person,,,,,,
שאור,leaven,inanimate object,,,,,,
שאילת שלום,"greeting/""asking [one's] peace""",process,,,,,,
שאל שאלה,question,process,,,,,,
שאנן,calm/unafraid,emotion,,,,,,
שאף,inhale/draw in,process,,,,,,
שאר,relative/food,quality,,,,,,
שאת צרעת,type of tzaraas,halachic quality,,,,,,
שאת,favor/success,process,,,,,,
שבא מלכת,,biblical person,,,,,,
שבואל,,biblical person,,,,,,
שבוי שבויה שבי,captivity/being hostage,process,,,,,,
שבוע,week/7 year cycle,span of time,,,,,,
שבועה,swear,halachic process,,,,,,
שבועות,,pilgrimage festival,,,,,,
שבור מלכא,,talmudic person,,,,,,
שבח,praise/appreciation,process,,,,,,
שבטים,the 12 tribes,group of people,,,,,,
שביל,path,structure,,,,,,
שבירת הכלים,,theology,,,,,,
שבכה,lattice,structure,,,,,,
שבלול,snail,animal,,,,,,alt. water
שבנא,,biblical person,,,,,,
שבע בן בכרי,,biblical person,,,,,,
שבעה מינים,the 7 species,group of plants,,,,,,
שבעה עמים,the 7 nations,group of people,,,,,,
שבעה עשר בתמוז,,fast day,,,,,,
שבעה רועים,the 7 shepherds,group of people,,,,,,
שבעים זקנים,the 70 sages ,group of people,,,,,,
שבעים נפש,the 70 people who came to egypt,group of people,,,,,,
שבעת ימי המשתה,7 days of celebration afrer wedding,halachic process,,,,,,
שבעתים,[seven]sevenfold,number,,,,,,
שבץ,fear,emotion,,תרגום יונתן,,,,also a kind of weave
שבר וישבר,buy/sell food,process,,,,,,
שבר יש שבר,produce,food,,,,,,
שבר שבירה,break,process,,,,,,
שבר תשברנה,anticipate,process,,,,,,
שבת אסורי,prohibitions of Shabbos,halachic process,,,,,שבת,
שבת בגד,clothes for Shabbos,halachic role of inanimate object,,,,,שבת,
שבת וישבת,cease,process,,,,,שבת,
שבת זכור ושמור,remembrance and guarding Shabbos,halachic process,,,,,שבת,
שבת מוצאי,after Shabbos,span of time,,,,,שבת,
שבת נר,candles for Shabbos,halachic role of inanimate object,,,,,שבת,
שבת נשמה יתרה,extra degree of soul on Shabbos,theology,,,,,שבת,
שבת סעודה,Shabbos meals,halachic process,,,,,שבת,
שבת ערב,eve of Shabbos,span of time,,,,,שבת,
שבת קדוש והבדלה,kiddush and havdallah,halachic process,,,,,שבת,
שבת שובה,Shabbos shuvah,day,,,,,שבת,
שבת תוספות,adding to Shabbos,halachic process,,,,,שבת,
שבת תחום,walking boundaries on Shabbos,continuant fiat boundary,,,halacha,,שבת,
שבת הגדול,Shabbos hagadol,day,,,,,שבת,
שבת,,holiday,,,,,,
שבתאי,one of the constellations/planets,inanimate object,,,,,,
שבתון,rest/time away,process,,,,,,
שגג,mistake/forgetting,process,,,,,,
שגוב,,biblical person,,,,,,
שגל,queen/mistress,occupation,,"רש""י",,,,
שגר,offspring,quality,,תרגום אונקלוס,,,,
שד,demon/harmful spirit,spiritual entity,,,,,,
שדה,field,geographic feature,,,,,,
שדוך,arrangement (esp. for marriage),process,,,,,,
שה,sheep,mammal,,,,,,
שהם,type of stone,inanimate object,,,,,,
שוא,vanity/false,quality,,,,,,
שואה,desolation/tumult,process,,,,,,
שואל,borrower,halachic role of person,,,,,,
שוב,return,process,,,,,,
שובה,quietude,quality,,,,,,
שובך,,biblical person,,,,,,
שוגג,mistake/forgetting,process,,,,,,
שוח,praying,process,,,,,,
שוחד,bribe,process,,,,,,
שוטה,person with psychotic behavior,quality,,,,,,
שוטר,officer,occupation,,,,,,
שוכר,renter,halachic role of person,,,,,,
שולחן,table,inanimate object,,,,,,
שולל,lacking sanity/clothing,quality,,,,,,
שולמית,nation of wholeness/peace,character trait,,,,,,
שום,garlic,food,,,,,,
שומן,fat/richness,inanimate object,,,,,,
שומר הסף,caretaker/guard,occupation,,,,,,
שומרון,,geographic site,,,,,,
שומרונים,,group of people,,,,,,
שומרים,types of leases/watching agreements,halachic role of person,,,,,,
שונא,hatred/dislike,emotion,,,,,,
שונמית,,biblical person,,,,,,
שוע,giver/generous person,character trait,,,,,,
שועה,plea,process,,,,,,
שועל,fox,mammal,,,,,,
שופט,judge,occupation,,,,,,
שופר שופרות,shofar/trumpet,inanimate object,,,,,,
שור בהמה,ox,mammal,,,,,,
שור ראה,see/lookout,process,,,,,,
שור הבר,the wild ox,mammal,,,,,,
שורר,scrutinize/stalk,process,,,,,,
שורש,root/source,object,,,,,,
שושבין,assistance/giving opportunity,role,,,,,,
שושן,,geographic site,,,,,,
שושנה,type of flower,plant,,,,,,
שושנים,type of instrument/music,inanimate object,,,,,,
שותף שותפות,partner,role of person,,,,,,
שחוק,joke/laughter,process,,,,,,
שחור,black,color,,,,,,
שחי,armpit,body part,,,,,,
שחיטה,slaughter,halachic process,,,,,,
שחין,boils,process,,,,,,
שחל,young lion,mammal,,,,,,
שחפת,inflammation,process,,,,,,
שחקים,high atmosphere/clouds/heavens,geographic site,,,,,,
שחר בקר,early morning,part of a day,,,,,,
שחר שחרה,seeking,process,,,,,,
שחת שחת,pit/waste/trap,process,inanimate object,,,,,
שטים דור המדבר,,geographic site,,,,,,
שטים משכן,type of tree used in mishkan,plant,,,,,,
שטן,,spiritual entity,,,,,,
שטר,contract,halachic role of inanimate object,,,,,,
שיבה,old age,quality,,,,,,
שיח,vegatation,group of plants,,,,,,
שיחה,conversation,process,,,,,,
שילה כי יבא שילה,,geographic site,,,,,,
שילה משכן,mishkan at shiloh,structure,,,,,,
שילוח,shiloach pool,geographic feature,,,,,,
שים,to place,process,,,,,,
שימוש,attending to,process,,,,,,
שינה,sleep,process,,,,,,
שינוי השם,changing name,process,,,,,,
שינוי,change/difference,process,,,,,,
שיעורין,measurements,material quality,,,,,,
שיער,hair,body part,,,,,,
שיר האזינו,haazinu song,biblical source,,,,,,
שיר המעלות,shir hamaalos/song of the steps,biblical source,,,,,,
שיר השירים,,biblical source,,,,,,
שיר,song/poetry,artistic process,,,,,,
שירת הבאר,song of the well,biblical source,,,,,,
שירת הים,song at the sea,biblical source,,,,,,
שישק,,biblical person,,,,,,
שית,set in place/nakedness,process,object,,,,,
שיתין,cistern under the altar,structure,,,,,,
שכב,sleep/lie down,process,,,,,,
שכבת זרע,seminal emission,process,,,,,,
שכבת,descent/precipitation,process,,,,,,
שכוי,heart/rooster,bird,,,,,,
שכור,drunk,quality,,,,,,
שכח,forget,process,,,,,,
שכחה,forgotten sheaves,halachic role of inanimate object,,,,,,
שכינה,divine presence/revelation,spiritual entity,,,,,,
שכיר שכירות,hired work/renting,process,,,,,,
שכל בינה,mind/intelligence,object,,,,,,
שכל שכל את ידיו,act wisely,process,,,,,,
שכם,,geographic site,biblical person,,,,,
שכן דירה,live (in a place),process,,,,,,
שכן,neighbor,role of person,,,,,,
שכר ברכה,divine reward,theological tenet,,,,,,
שכר יין,strong wine/liquor,food,,,,,,
שכר שכיר,paying workers on time,halachic process,,,,,,
של נעלך,take off your shoes,phrase,process,,,,,
של,mistake/deviation,process,,,,,,
שלא לשמה,acting for ulterior motives,quality,,,,,,
שלג,snow,weather,,,,,,
שלהבת,flame,fiat object part,,,,,,
שלו,type of seabird,bird,,,,,,
שלוה,tranquility,process,,,,,,
שלוח הקן,sending away mother bird,halachic process,,,,,,
שלום בן תקוה,,biblical person,,,,,,
שלום,peace,process,,,,,,
שלומיאל,,biblical person,,,,,,
שלומית,,biblical person,,,,,,
שלומציון,,mishnaic person,,,,,,
שלח,send,process,,,,,,
שליח שליחות,agency/messenger,role of person,,,,,,
שליח מצוה,agent of mitzvah,role of person,,,,,,
שליח צבור,prayer leader/agent of the community,halachic role of person,,,,,,
שליש שלישיה,third/great,quality,,,,,,
שליש,noblemen/general/third party,occupation,,,,,,
שלל,loot,group of inanimate objects,,,,,,
שלמה בגד,clothing/cloak,inanimate object,,,,,,
שלמה חכמת,wisdom of Shlomo,quality,,,,,,
שלמה כסא,throne of Shlomo,inanimate object,,,,,,
שלמה,,biblical person,,,,,,
שלמון,,biblical person,,,,,,
שלמות,wholeness/holism,character trait,,,,,,
שלתיאל,,biblical person,,,,,,
שם בן נח,,biblical person,,,,,,
שם שינוי,changing name,process,,,,,,
שם שמות,name,quality,language entity,,,,,
שם טוב,good name/reputation,character trait,,,,,,
שם רע,bad name/reputation,character trait,,,,,,
שם,there,word,,,,,,
שמא יקדמנו,exception for opportunity,halachic process,,,,,,
שמאל,left side,fiat object part,,,,,,
שמגר,,biblical person,,,,,,
שמד,persecution/destruction,process,,,,,,
שמואל הנביא,,biblical person,,,,,,
שמונה נסיכים,the 8 leaders,group of people,,,,,,
שמונה,eight,number,,,,,,
שמועה,rumor/teaching/announcement,process,,,,,,
